,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,1rBiNR61IhvbzeKwfs3AwE,0.248,0.949,5,-3.451,0,0.241,0.000213,1.31e-06,0.618,0.241,148.578,4
1,53qNokolyhWvzlOOrdt6aR,0.396,0.949,1,-5.898,1,0.063,0.00556,0.00427,0.082,0.575,159.808,4
2,1iEYdDcqkF6fN56eyQt8SG,0.381,0.965,1,-6.04,0,0.103,0.00556,0.000518,0.0813,0.373,116.291,4
3,5moXWdc1WSGamWwlD5YL4Z,0.534,0.975,6,-5.504,1,0.0736,0.000842,0.00178,0.142,0.437,137.005,4
4,7pNiBxovVOj10GrFIIwjuy,0.423,0.391,2,-10.867,1,0.0321,0.654,0.88,0.359,0.389,127.925,3
5,5X9lrLkLSe7bzYiIZwhHl7,0.486,0.257,5,-25.872,0,0.568,0.674,0.0,0.179,0.506,185.392,3
6,5rhfOzbqKzumQFWPL2Waq8,0.362,0.0935,11,-22.21,0,0.0347,0.935,0.668,0.104,0.205,73.859,4
7,04RuK8M0y3pGQ4Whk87Vpm,0.401,0.452,2,-10.544,1,0.0341,0.00383,0.797,0.197,0.0489,112.114,4
8,58QWuwXmMV6ecDY8NV5MSV,0.676,0.774,4,-7.776,0,0.039,0.0452,0.724,0.13,0.234,102.534,4
9,6H3Wa6hWR9DRMzMSd4pZkT,0.53,0.562,4,-13.018,1,0.0409,0.613,1.37e-06,0.257,0.697,121.081,4
10,6crRnkFcK92wXQLI0YDHf9,0.321,0.919,5,-5.242,1,0.078,0.00194,0.151,0.156,0.533,122.023,4
11,1s4hIKqNXcN1DpR84L1gQ3,0.436,0.883,9,-3.909,1,0.0486,0.0062,0.000144,0.106,0.394,139.92,4
12,10ksVlS4mXJfIPUXkhPMrn,0.436,0.883,9,-3.909,1,0.0486,0.0062,0.000144,0.106,0.394,139.92,4
13,13H1BCvtb5qWBopmgEicTT,0.467,0.418,11,-8.803,0,0.0258,0.261,1.39e-05,0.108,0.2,92.508,4
14,0HvXK1CtTjBs6hV06uU25M,0.383,0.911,11,-4.813,1,0.0604,0.00248,0.000119,0.149,0.58,95.046,4
15,0uYPsl955ngOyNBzfp0EYg,0.435,0.936,9,-4.153,0,0.0656,0.000114,0.0028,0.204,0.309,93.943,4
16,4Jh5SlPiCAKP2d88TmKisF,0.405,0.787,5,-7.406,1,0.0462,0.000111,0.0122,0.0649,0.426,156.052,4
17,4bdJHQp90ymjEIkkYhcENB,0.923,0.508,1,-8.668,1,0.0468,0.104,1.21e-05,0.126,0.168,108.039,4
18,5vRPXm59z8ewWO6WiJHg3m,0.505,0.778,10,-4.778,1,0.0398,0.0277,0.00275,0.115,0.284,140.493,4
19,2cJDsHTLgDQvf5G73RCNX5,0.415,0.533,0,-8.445,1,0.0308,0.0037,0.000732,0.176,0.126,138.929,4
20,2VSbEXqs6NbNiZSTcHlIDR,0.32,0.88,2,-6.035,1,0.0504,0.000101,4.31e-06,0.076,0.257,146.349,4
21,1ZozJfi8u9cO2Ob8KwiwNT,0.459,0.83,2,-6.254,1,0.0364,5.15e-05,0.00014,0.206,0.431,155.827,4
22,42T2QQv3xgBlpQxaSP7lnK,0.386,0.677,2,-5.83,1,0.0346,0.00841,0.00366,0.341,0.195,126.602,4
23,313j2aNbdQRcWZq7JOo0ro,0.888,0.753,2,-4.579,1,0.148,0.0758,1.2e-06,0.327,0.745,109.946,4
24,3QqOcLtTU8zzlQRJCZzttP,0.881,0.782,9,-3.657,1,0.0803,0.06,0.0,0.0616,0.774,142.119,4
25,4bdzlt280luOgFi0ZlkTvR,0.481,0.858,5,-5.06,1,0.0588,0.00635,0.0,0.224,0.315,94.998,4
26,5rW7qTn83sCKtqBoneJs63,0.815,0.849,4,-4.704,0,0.114,0.0229,0.000176,0.026,0.685,106.035,4
27,1w7AURZqlTcLT2jeWUEBSy,0.455,0.774,6,-8.134,1,0.0548,0.00296,0.884,0.113,0.129,110.304,4
28,2Lk8XTulavagQOrYqFpGB8,0.519,0.776,7,-7.051,1,0.0309,0.252,2.92e-05,0.157,0.653,137.29,4
29,6uhIF5J5Txaie0is2nXdxU,0.598,0.847,1,-2.54,1,0.205,0.0655,9.92e-05,0.307,0.728,169.959,4
30,1WdkBwAsdznWw9xM69KmvR,0.515,0.947,6,-3.167,0,0.0761,0.0795,0.0,0.0473,0.715,152.123,4
31,1ca2uiucobPt5UA12smJwp,0.716,0.946,9,-4.55,1,0.466,0.806,0.000331,0.0421,0.972,132.159,4
32,1mB7dCUM7sPyNab6R43nlj,0.548,0.855,3,-3.266,1,0.151,0.0149,0.0,0.127,0.644,145.133,4
33,4CiVz4bw7X1zjCaJ5ZwxUS,0.395,0.784,10,-5.903,0,0.132,0.0135,0.0,0.213,0.353,161.946,4
34,5XUuldRjPXcP5QxyEN4IXT,0.546,0.898,2,-3.067,0,0.162,0.0266,0.0,0.129,0.639,173.17,4
35,73GKs8oNFFmtomWj7EsSU0,0.356,0.333,5,-6.892,0,0.0314,0.317,0.0,0.0849,0.12,140.133,4
